filename,width,height,class,xmin,ymin,xmax,ymax
apollo11_A_1.JPG,512,512,glass,217.0,86.0,229.0,98.0
apollo11_A_10.JPG,512,512,melt,185.0,158.0,234.0,200.0
apollo11_A_10.JPG,512,512,glass,466.0,337.0,489.0,361.0
apollo11_A_10.JPG,512,512,melt,269.0,464.0,300.0,498.0
apollo11_A_10.JPG,512,512,melt,222.0,464.0,258.0,506.0
apollo11_A_10.JPG,512,512,breccia,1.0,316.0,114.0,512.0
apollo11_A_10.JPG,512,512,glass,233.0,31.0,251.0,51.0
apollo11_A_100.JPG,512,512,breccia,431.0,116.0,476.0,166.0
apollo11_A_102.JPG,512,512,glass,428.0,136.0,476.0,180.0
apollo11_A_104.JPG,512,512,melt,349.0,485.0,372.0,510.0
apollo11_A_106.JPG,512,512,melt,1.0,344.0,266.0,511.0
apollo11_A_106.JPG,512,512,glass,343.0,472.0,383.0,511.0
apollo11_A_11.JPG,512,512,melt,117.0,239.0,164.0,283.0
apollo11_A_11.JPG,512,512,melt,95.0,330.0,148.0,402.0
apollo11_A_11.JPG,512,512,glass,247.0,425.0,281.0,460.0
apollo11_A_11.JPG,512,512,glass,389.0,264.0,407.0,283.0
apollo11_A_11.JPG,512,512,glass,400.0,244.0,418.0,259.0
apollo11_A_11.JPG,512,512,glass,300.0,231.0,311.0,243.0
apollo11_A_11.JPG,512,512,glass,363.0,474.0,376.0,485.0
apollo11_A_111.JPG,512,512,melt,348.0,334.0,512.0,512.0
apollo11_A_111.JPG,512,512,melt,250.0,90.0,387.0,284.0
apollo11_A_111.JPG,512,512,melt,1.0,1.0,303.0,511.0
apollo11_A_111.JPG,512,512,melt,302.0,288.0,343.0,330.0
apollo11_A_112.JPG,512,512,melt,1.0,337.0,72.0,511.0
apollo11_A_112.JPG,512,512,melt,25.0,116.0,90.0,173.0
apollo11_A_113.JPG,512,512,melt,10.0,1.0,88.0,45.0
apollo11_A_113.JPG,512,512,breccia,1.0,1.0,273.0,309.0
apollo11_A_114.JPG,512,512,melt,479.0,237.0,506.0,271.0
apollo11_A_115.JPG,512,512,melt,307.0,132.0,512.0,364.0
apollo11_A_115.JPG,512,512,melt,419.0,355.0,512.0,491.0
apollo11_A_115.JPG,512,512,melt,475.0,484.0,512.0,512.0
apollo11_A_115.JPG,512,512,melt,103.0,231.0,267.0,344.0
apollo11_A_116.JPG,512,512,melt,1.0,1.0,510.0,511.0
apollo11_A_117.JPG,512,512,melt,1.0,1.0,123.0,125.0
apollo11_A_117.JPG,512,512,melt,124.0,456.0,220.0,512.0
apollo11_A_118.JPG,512,512,melt,395.0,240.0,456.0,304.0
apollo11_A_118.JPG,512,512,melt,416.0,141.0,486.0,201.0
apollo11_A_118.JPG,512,512,melt,481.0,288.0,512.0,349.0
apollo11_A_119.JPG,512,512,melt,259.0,283.0,345.0,356.0
apollo11_A_119.JPG,512,512,melt,182.0,218.0,247.0,270.0
apollo11_A_12.JPG,512,512,melt,462.0,178.0,503.0,228.0
apollo11_A_12.JPG,512,512,breccia,2.0,8.0,512.0,512.0
apollo11_A_120.JPG,512,512,melt,341.0,106.0,511.0,321.0
apollo11_A_120.JPG,512,512,melt,294.0,320.0,512.0,443.0
apollo11_A_120.JPG,512,512,melt,436.0,437.0,512.0,512.0
apollo11_A_120.JPG,512,512,melt,481.0,1.0,512.0,40.0
apollo11_A_120.JPG,512,512,melt,290.0,78.0,337.0,128.0
apollo11_A_121.JPG,512,512,breccia,155.0,268.0,379.0,487.0
apollo11_A_122.JPG,512,512,glass,389.0,321.0,413.0,342.0
apollo11_A_125.JPG,512,512,melt,247.0,342.0,275.0,369.0
apollo11_A_127.JPG,512,512,melt,260.0,33.0,503.0,290.0
apollo11_A_129.JPG,512,512,glass,4.0,357.0,22.0,377.0
apollo11_A_13.JPG,512,512,breccia,1.0,1.0,511.0,511.0
apollo11_A_131.JPG,512,512,breccia,274.0,331.0,361.0,383.0
apollo11_A_133.JPG,512,512,glass,124.0,80.0,138.0,93.0
apollo11_A_134.JPG,512,512,melt,78.0,1.0,161.0,102.0
